Direction,District,Garden,Region,Floor,Renovation,Size,Year,Room,Elevator,Hall,Price
0,3,75,10,10,3,58.0,2003,1,1.0,1.0,750.0
0,3,75,10,10,3,58.0,2003,1,1.0,1.0,750.0
0,3,75,10,10,3,58.0,2003,1,1.0,1.0,750.0
0,3,75,10,10,3,58.0,2003,1,1.0,1.0,750.0
0,3,75,10,10,3,58.0,2003,1,1.0,1.0,750.0
0,3,75,10,10,3,58.0,2003,1,1.0,1.0,750.0
0,3,75,10,10,3,58.0,2003,1,1.0,1.0,750.0
0,3,75,10,10,3,58.0,2003,1,1.0,1.0,750.0
33,159,3158,10,9,2,132.0,2004,3,1.0,2.0,1020.0
33,159,3158,10,9,2,132.0,2004,3,1.0,2.0,1020.0
33,159,3158,10,9,2,132.0,2004,3,1.0,2.0,1020.0
33,159,3158,10,9,2,132.0,2004,3,1.0,2.0,1020.0
33,159,3158,10,9,2,132.0,2004,3,1.0,2.0,1020.0
33,159,3158,10,9,2,132.0,2004,3,1.0,2.0,1020.0
33,159,3158,10,9,2,132.0,2004,3,1.0,2.0,1020.0
33,159,3158,10,9,2,132.0,2004,3,1.0,2.0,1020.0
45,46,1864,10,16,2,47.0,2005,1,1.0,0.0,360.0
33,7,3864,10,7,2,153.0,2000,3,1.0,2.0,1900.0
33,7,3864,10,7,2,153.0,2000,3,1.0,2.0,1900.0
33,7,3864,10,7,2,153.0,2000,3,1.0,2.0,1900.0
33,7,3864,10,7,2,153.0,2000,3,1.0,2.0,1900.0
33,7,3864,10,7,2,153.0,2000,3,1.0,2.0,1900.0
33,7,3864,10,7,2,153.0,2000,3,1.0,2.0,1900.0
33,7,3864,10,7,2,153.0,2000,3,1.0,2.0,1900.0
33,7,3864,10,7,2,153.0,2000,3,1.0,2.0,1900.0
33,33,3364,10,5,2,47.0,1980,2,0.0,1.0,476.0
20,36,898,10,6,0,57.0,1986,2,0.0,1.0,446.0
47,172,867,10,18,2,177.0,1996,4,1.0,2.0,1239.0
33,155,4109,10,5,0,179.0,2012,3,1.0,3.0,2000.0
20,97,2642,10,5,2,79.0,1998,2,0.0,1.0,550.0
33,145,4034,10,9,3,82.0,2008,2,1.0,1.0,560.0
50,152,384,10,26,3,78.0,2004,1,1.0,1.0,639.0
33,216,4376,10,6,3,68.0,1987,3,0.0,1.0,550.0
33,23,672,10,6,2,82.0,1992,3,0.0,1.0,700.0
33,67,3332,10,6,3,93.0,2002,2,0.0,1.0,740.0
30,2,51,10,5,3,55.0,1978,2,0.0,1.0,445.0
33,6,155,10,5,0,164.0,1996,3,0.0,2.0,1500.0
33,144,2585,10,9,3,131.0,2012,3,1.0,2.0,795.0
33,24,283,10,6,3,90.0,1997,3,0.0,1.0,835.0
22,172,864,10,18,3,98.0,1999,3,1.0,2.0,839.0
33,159,3032,10,6,2,72.0,1996,2,0.0,1.0,490.0
30,33,3359,10,18,2,81.0,1990,2,1.0,1.0,720.0
33,186,3683,10,7,3,150.0,2010,3,1.0,1.0,1250.0
47,184,4079,10,18,0,114.0,1999,3,1.0,1.0,560.0
50,60,3121,10,20,0,115.0,1998,3,1.0,1.0,1350.0
0,172,3239,10,25,2,164.0,2001,2,1.0,1.0,1150.0
33,72,862,10,6,0,57.0,1988,3,0.0,1.0,630.0
33,91,3028,10,3,2,62.0,1994,2,0.0,1.0,560.0
6,34,3542,1,6,2,79.0,1998,3,0.0,1.0,545.0
30,212,1945,1,6,0,42.0,1995,1,0.0,1.0,230.0
4,195,3780,1,19,3,73.0,1995,2,1.0,1.0,380.0
4,219,2453,1,18,3,110.0,2003,2,1.0,1.0,625.0
50,212,2332,1,24,3,98.0,2001,2,1.0,1.0,500.0
30,45,3671,1,6,2,57.0,1989,2,0.0,1.0,310.0
33,25,3200,1,6,3,60.0,1980,2,0.0,1.0,270.0
33,212,4208,1,7,2,84.0,2000,2,0.0,1.0,450.0
37,177,2449,1,9,2,87.0,2011,2,1.0,1.0,419.0
6,122,81,1,16,3,93.0,2012,2,1.0,2.0,419.0
33,45,831,1,6,3,64.0,1991,2,0.0,1.0,380.0
4,121,3474,1,22,3,171.0,2000,4,1.0,1.0,1196.0
47,181,71,1,14,2,105.0,2008,3,1.0,1.0,610.0
50,181,4414,1,30,0,207.0,2001,3,1.0,1.0,1250.0
33,63,2919,1,6,3,69.0,1995,3,0.0,1.0,445.0
33,219,3778,1,6,0,60.0,1998,2,0.0,1.0,345.0
8,88,1773,1,21,0,127.0,2004,3,1.0,1.0,750.0
33,119,1536,1,15,3,96.0,2012,2,1.0,1.0,520.0
30,212,1852,1,18,2,69.0,2015,2,1.0,1.0,332.0
30,212,1852,1,34,0,72.0,2015,2,1.0,1.0,345.0
33,212,1852,1,28,2,73.0,2014,2,1.0,1.0,350.0
33,212,1852,1,26,2,76.0,2013,2,1.0,1.0,365.0
33,121,3484,1,15,2,86.0,2000,3,1.0,1.0,490.0
33,122,3559,1,6,0,156.0,2001,4,0.0,2.0,760.0
6,197,1878,1,20,2,89.0,2001,2,1.0,1.0,460.0
6,121,3480,1,27,2,97.0,1994,3,1.0,1.0,614.0
33,119,3373,1,6,3,90.0,2005,2,0.0,1.0,550.0
30,168,808,1,14,3,61.0,2015,1,1.0,1.0,385.0
20,142,2729,1,6,2,59.0,1988,2,0.0,1.0,335.0
45,212,3597,1,20,0,94.0,1996,3,1.0,1.0,500.0
33,185,3189,8,6,2,127.0,2000,3,0.0,2.0,335.0
33,231,3136,8,28,2,130.0,2010,2,1.0,1.0,475.0
33,231,3136,8,28,2,130.0,2010,2,1.0,1.0,475.0
33,231,3136,8,28,2,130.0,2010,2,1.0,1.0,475.0
33,231,3136,8,28,2,130.0,2010,2,1.0,1.0,475.0
33,231,3136,8,28,2,130.0,2010,2,1.0,1.0,475.0
33,231,3136,8,28,2,130.0,2010,2,1.0,1.0,475.0
33,231,3136,8,28,2,130.0,2010,2,1.0,1.0,475.0
33,231,3136,8,28,2,130.0,2010,2,1.0,1.0,475.0
30,231,2192,8,6,3,38.0,2003,1,0.0,0.0,200.0
27,141,1249,8,6,2,22.0,2006,1,0.0,1.0,138.0
33,42,2819,8,6,3,56.0,2002,1,0.0,1.0,252.0
30,231,3136,8,6,3,54.0,1989,1,0.0,1.0,245.0
22,87,1515,8,21,3,48.0,2008,1,1.0,0.0,295.0
0,185,3589,8,15,2,53.0,2009,1,1.0,1.0,230.0
33,8,529,8,6,0,118.0,1998,3,0.0,2.0,370.0
27,69,2732,8,11,0,47.0,2006,1,1.0,0.0,300.0
33,185,2619,8,6,0,120.0,2003,3,0.0,1.0,315.0
33,42,1176,8,7,2,91.0,1996,2,0.0,2.0,360.0
33,101,3286,8,12,0,139.0,2013,3,1.0,2.0,518.0
50,87,1515,8,24,3,54.0,2008,3,1.0,1.0,248.0
30,69,153,8,7,3,38.0,2012,1,1.0,0.0,125.0
50,42,1176,8,7,2,128.0,1998,3,0.0,2.0,420.0
33,69,466,8,7,2,145.0,2000,3,0.0,2.0,510.0
33,42,2960,8,6,3,212.0,2001,3,0.0,2.0,750.0
33,231,1221,8,6,3,87.0,1994,3,0.0,1.0,290.0
45,141,902,8,17,2,19.0,2010,1,1.0,1.0,180.0
27,87,203,8,20,3,30.0,2008,1,1.0,0.0,110.0
33,87,1522,8,12,0,186.0,2005,4,1.0,1.0,860.0
33,42,3596,8,2,3,213.0,2003,5,0.0,2.0,1500.0
20,55,4466,8,24,3,58.0,2006,3,1.0,1.0,220.0
27,69,825,8,7,3,66.0,2009,2,0.0,1.0,235.0
33,87,1527,8,6,2,131.0,2001,3,0.0,1.0,445.0
33,42,3874,8,3,1,333.0,2013,5,1.0,2.0,1250.0
33,185,3189,8,6,2,123.0,2000,3,0.0,1.0,318.0
45,122,201,3,17,3,34.0,2014,1,1.0,0.0,104.0
22,29,4014,3,9,3,86.0,2016,4,1.0,1.0,350.0
30,122,201,3,19,3,109.0,2014,4,1.0,1.0,319.0
33,136,353,3,29,2,141.0,2015,3,1.0,1.0,760.0
33,136,353,3,29,0,136.0,2015,3,1.0,2.0,760.0
0,122,201,3,19,2,93.0,2014,3,1.0,1.0,230.0
33,29,4014,3,9,3,93.0,2016,4,1.0,1.0,330.0
30,85,2993,3,28,3,140.0,2014,4,1.0,2.0,350.0
50,122,201,3,20,2,97.0,2014,3,1.0,1.0,265.0
33,85,2993,3,28,3,157.0,2014,4,1.0,1.0,405.0
50,122,201,3,19,3,123.0,2014,4,1.0,1.0,370.0
33,136,353,3,33,0,153.0,2015,4,1.0,2.0,875.0
30,136,353,3,29,0,88.0,2015,2,1.0,1.0,480.0
33,77,4298,3,15,3,116.0,2015,3,1.0,1.0,525.0
20,230,3379,3,12,2,155.0,2007,3,1.0,2.0,530.0
33,85,4477,3,26,2,169.0,2014,4,1.0,1.0,788.0
8,85,602,3,29,3,58.0,2014,1,1.0,1.0,267.0
6,122,201,3,19,0,123.0,2014,4,1.0,1.0,295.0
47,85,2993,3,8,3,101.0,2014,3,1.0,2.0,240.0
33,85,465,3,19,2,84.0,2014,2,1.0,1.0,354.0
20,29,4014,3,9,3,89.0,2016,4,1.0,1.0,300.0
45,85,4060,3,14,3,43.0,2015,3,1.0,1.0,160.0
30,175,2272,7,14,3,35.0,2015,2,1.0,1.0,160.0
30,175,2272,7,14,3,35.0,2015,2,1.0,1.0,160.0
30,175,2272,7,14,3,35.0,2015,2,1.0,1.0,160.0
30,175,2272,7,14,3,35.0,2015,2,1.0,1.0,160.0
30,175,2272,7,14,3,35.0,2015,2,1.0,1.0,160.0
30,175,2272,7,14,3,35.0,2015,2,1.0,1.0,160.0
30,175,2272,7,14,3,35.0,2015,2,1.0,1.0,160.0
30,175,2272,7,14,3,35.0,2015,2,1.0,1.0,160.0
0,206,2003,7,8,3,42.0,2016,1,1.0,1.0,110.0
0,206,2003,7,8,0,46.0,2016,1,1.0,1.0,140.0
33,175,3844,7,15,0,234.0,2003,5,1.0,2.0,658.0
33,206,4129,7,4,0,139.0,2015,3,1.0,2.0,695.0
33,206,4129,7,4,0,139.0,2015,3,1.0,2.0,695.0
33,206,4129,7,4,0,139.0,2015,3,1.0,2.0,695.0
